analysis_year,analysis_era,run,scope_name,member_count,proof,all_active_members_unprescaled,ls_tolerance_fb
2022,2022,355998,Trigger_EGamma,2,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355998,Trigger_Any,7,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355999,Trigger_ElMu,3,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355999,Trigger_dblEl,1,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355999,Trigger_dblMu,1,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355999,Trigger_sngEl,1,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355999,Trigger_sngMu,1,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355999,Trigger_Muon,2,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355999,Trigger_EGamma,2,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355999,Trigger_Any,7,full_unprescaled_member_covers_run,True,2e-12
2022,2022,356004,Trigger_ElMu,3,full_unprescaled_member_covers_run,True,2e-12
2022,2022,356004,Trigger_dblEl,1,full_unprescaled_member_covers_run,True,2e-12
2022,2022,356004,Trigger_dblMu,1,full_unprescaled_member_covers_run,True,2e-12
2022,2022,356004,Trigger_sngEl,1,full_unprescaled_member_covers_run,True,2e-12
2022,2022,356004,Trigger_sngMu,1,full_unprescaled_member_covers_run,True,2e-12
2022,2022,356004,Trigger_Muon,2,full_unprescaled_member_covers_run,True,2e-12
2022,2022,356004,Trigger_EGamma,2,full_unprescaled_member_covers_run,True,2e-12
2022,2022,356004,Trigger_Any,7,full_unprescaled_member_covers_run,True,2e-12
2022,2022,356005,Trigger_ElMu,3,full_unprescaled_member_covers_run,True,2e-12
2022,2022,356005,Trigger_dblEl,1,full_unprescaled_member_covers_run,True,2e-12
2022,2022,356005,Trigger_dblMu,1,validated_unprescaled_partial_ls_union,True,2e-12
2022,2022,356005,Trigger_sngEl,1,full_unprescaled_member_covers_run,True,2e-12
2022,2022,356005,Trigger_sngMu,1,validated_unprescaled_partial_ls_union,True,2e-12
2022,2022,356005,Trigger_Muon,2,validated_unprescaled_partial_ls_union,True,2e-12
2022,2022,356005,Trigger_EGamma,2,full_unprescaled_member_covers_run,True,2e-12
2022,2022,356005,Trigger_Any,7,full_unprescaled_member_covers_run,True,2e-12
2022,2022,356043,Trigger_ElMu,3,full_unprescaled_member_covers_run,True,2e-12
2022,2022,356043,Trigger_dblEl,1,full_unprescaled_member_covers_run,True,2e-12
2022,2022,356043,Trigger_dblMu,1,full_unprescaled_member_covers_run,True,2e-12
2022,2022,356043,Trigger_sngEl,1,full_unprescaled_member_covers_run,True,2e-12
2022,2022,356043,Trigger_sngMu,1,full_unprescaled_member_covers_run,True,2e-12
2022,2022,356043,Trigger_Muon,2,full_unprescaled_member_covers_run,True,2e-12
2022,2022,356043,Trigger_EGamma,2,full_unprescaled_member_covers_run,True,2e-12
2022,2022,356043,Trigger_Any,7,full_unprescaled_member_covers_run,True,2e-12
